date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:38:30	3047/3047	---M-Z	200	added ('OK')	text/html	etag:W/%22638f227d-be7%22	https://game316009.konggames.com/gamez/0031/6009/live/index.html	C:/Users/Gabri/Desktop/sadf/website%20downloads/retrobowl/game316009.konggames.com/gamez/0031/6009/live/index.html	(from )
21:38:30	122/122	---M-Z	200	added ('OK')	text/plain	etag:%226334a3b4-7d%22	https://game316009.konggames.com/robots.txt		(from )
21:38:30	583/583	---M--	200	added ('OK')	image/png	etag:%227lDnDWZnAocQC8uUUyoSCtZ5dyzUQulyfdY36dgjqbE%22	https://game316009.konggames.com/gamez/0031/6009/live/html5game/splash.png	C:/Users/Gabri/Desktop/sadf/website%20downloads/retrobowl/game316009.konggames.com/gamez/0031/6009/live/html5game/splash.png	(from https://game316009.konggames.com/gamez/0031/6009/live/index.html)
21:38:32	3644520/3644520	---M-Z	200	added ('OK')	application/x-javascript	etag:W/%22638f227f-379c68%22	https://game316009.konggames.com/gamez/0031/6009/live/html5game/RetroBowl.js?WAEAC=1633155445	C:/Users/Gabri/Desktop/sadf/website%20downloads/retrobowl/game316009.konggames.com/gamez/0031/6009/live/html5game/RetroBowlb283.js	(from https://game316009.konggames.com/gamez/0031/6009/live/index.html)
21:38:32	182/182	---M--	404	error ('Not%20Found')	text/html	etag:%22639482b0-b6%22	https://game316009.konggames.com/gamez/0031/6009/live/RetroBowl_texture_1.png	C:/Users/Gabri/Desktop/sadf/website%20downloads/retrobowl/game316009.konggames.com/gamez/0031/6009/live/RetroBowl_texture_1.png	(from https://game316009.konggames.com/gamez/0031/6009/live/html5game/RetroBowl.js?WAEAC=1633155445)
21:38:34	182/182	---M--	404	error ('Not%20Found')	text/html	etag:%22639482b0-b6%22	https://game316009.konggames.com/gamez/0031/6009/live/uniforms_default.txt	C:/Users/Gabri/Desktop/sadf/website%20downloads/retrobowl/game316009.konggames.com/gamez/0031/6009/live/uniforms_default.txt	(from https://game316009.konggames.com/gamez/0031/6009/live/html5game/RetroBowl.js?WAEAC=1633155445)
21:38:34	182/182	---M--	404	error ('Not%20Found')	text/html	etag:%22639482b0-b6%22	https://game316009.konggames.com/gamez/0031/6009/live/ProTeams_CO.txt	C:/Users/Gabri/Desktop/sadf/website%20downloads/retrobowl/game316009.konggames.com/gamez/0031/6009/live/ProTeams_CO.txt	(from https://game316009.konggames.com/gamez/0031/6009/live/html5game/RetroBowl.js?WAEAC=1633155445)
21:38:36	182/182	---M--	404	error ('Not%20Found')	text/html	etag:%22639482b0-b6%22	https://game316009.konggames.com/gamez/0031/6009/live/uniforms_custom_1.txt	C:/Users/Gabri/Desktop/sadf/website%20downloads/retrobowl/game316009.konggames.com/gamez/0031/6009/live/uniforms_custom_1.txt	(from https://game316009.konggames.com/gamez/0031/6009/live/html5game/RetroBowl.js?WAEAC=1633155445)
21:38:36	182/182	---M--	404	error ('Not%20Found')	text/html	etag:%22639482b0-b6%22	https://game316009.konggames.com/gamez/0031/6009/live/uniforms_custom_2.txt	C:/Users/Gabri/Desktop/sadf/website%20downloads/retrobowl/game316009.konggames.com/gamez/0031/6009/live/uniforms_custom_2.txt	(from https://game316009.konggames.com/gamez/0031/6009/live/html5game/RetroBowl.js?WAEAC=1633155445)
21:38:36	182/182	---M--	404	error ('Not%20Found')	text/html	etag:%22639482b0-b6%22	https://game316009.konggames.com/gamez/0031/6009/live/uniforms_custom_3.txt	C:/Users/Gabri/Desktop/sadf/website%20downloads/retrobowl/game316009.konggames.com/gamez/0031/6009/live/uniforms_custom_3.txt	(from https://game316009.konggames.com/gamez/0031/6009/live/html5game/RetroBowl.js?WAEAC=1633155445)
21:38:37	182/182	---M--	404	error ('Not%20Found')	text/html	etag:%22639482b0-b6%22	https://game316009.konggames.com/gamez/0031/6009/live/uniforms_custom_4.txt	C:/Users/Gabri/Desktop/sadf/website%20downloads/retrobowl/game316009.konggames.com/gamez/0031/6009/live/uniforms_custom_4.txt	(from https://game316009.konggames.com/gamez/0031/6009/live/html5game/RetroBowl.js?WAEAC=1633155445)
21:38:37	182/182	---M--	404	error ('Not%20Found')	text/html	etag:%22639482b0-b6%22	https://game316009.konggames.com/gamez/0031/6009/live/uniforms_custom_5.txt	C:/Users/Gabri/Desktop/sadf/website%20downloads/retrobowl/game316009.konggames.com/gamez/0031/6009/live/uniforms_custom_5.txt	(from https://game316009.konggames.com/gamez/0031/6009/live/html5game/RetroBowl.js?WAEAC=1633155445)
21:38:37	182/182	---M--	404	error ('Not%20Found')	text/html	etag:%22639482b0-b6%22	https://game316009.konggames.com/gamez/0031/6009/live/PlayerRecords.txt	C:/Users/Gabri/Desktop/sadf/website%20downloads/retrobowl/game316009.konggames.com/gamez/0031/6009/live/PlayerRecords.txt	(from https://game316009.konggames.com/gamez/0031/6009/live/html5game/RetroBowl.js?WAEAC=1633155445)
